timepoints,forecast
336,0.23161174
337,0.2317411
338,0.20123088
339,0.020622164
340,0.011349551
341,-0.07806345
342,-0.05884735
343,0.12160625
344,0.3297661
345,0.5921153
346,1.0388713
347,1.2181166
348,1.468656
349,1.6085356
350,1.6300051
351,1.7901771
352,1.8719014
353,1.859614
354,1.63546
355,1.402622
356,1.1237248
357,0.74800974
358,0.47020775
359,0.34903488
360,0.35517135
361,0.24601525
362,0.22145633
363,0.10158221
364,0.030737825
365,0.03622433
366,0.11894181
367,0.3128297
368,0.45922518
369,0.8159025
370,1.0591255
371,1.273307
372,1.4825618
373,1.7138581
374,1.7353673
375,1.9053138
376,2.010946
377,1.8362086
378,1.683944
379,1.3848614
380,1.1709541
381,0.7608502
382,0.5785369
383,0.45541355
384,0.29292464
385,0.212726
386,0.18797618
387,0.08903295
388,0.07921149
389,-0.08033976
390,-0.04714964
391,0.12651074
392,0.38664877
393,0.69161475
394,0.94486547
395,1.2940894
396,1.4329879
397,1.664353
398,1.6793816
399,1.9128363
400,1.9501829
401,1.8878331
402,1.7164147
403,1.2704335
404,0.91816425
405,0.6261737
406,0.39566073
407,0.2946211
408,0.16327761
409,0.19853564
410,0.13055092
411,0.026491314
412,-0.028000284
413,-0.056995172
414,0.016039193
415,0.18577096
416,0.4020139
417,0.6083805
418,1.0439705
419,1.2073203
420,1.4476079
421,1.5829232
422,1.6310197
423,1.8294238
424,1.8479213
425,1.8068364
426,1.6102896
427,1.3545052
428,0.9322913
429,0.61975956
430,0.36820906
431,0.1604664
